iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
235,0.5635,36.7007,8.0551,nan,nan,nan,nan,2.899e+05
236,0.5577,37.5053,8.1115,nan,nan,nan,nan,2.903e+05
237,0.5581,38.2163,8.4172,nan,nan,nan,nan,2.907e+05
238,0.5595,38.5495,8.5424,nan,nan,nan,nan,2.910e+05
239,0.5606,39.3066,8.6693,nan,nan,nan,nan,2.914e+05
240,0.5749,40.1249,9.2659,nan,nan,nan,nan,2.917e+05
241,0.5903,40.9592,9.0893,nan,nan,nan,nan,2.920e+05
242,0.5969,41.5148,9.0158,nan,nan,nan,nan,2.924e+05
243,0.6030,42.0157,8.7614,nan,nan,nan,nan,2.927e+05
244,0.6024,42.4336,12.6713,nan,nan,nan,nan,2.931e+05
245,0.5938,43.3142,7.7214,nan,nan,nan,nan,2.934e+05
246,0.6091,44.2189,7.8576,nan,nan,nan,nan,2.937e+05
247,0.6335,44.7345,8.1134,nan,nan,nan,nan,2.941e+05
248,0.6452,45.2457,8.7926,nan,nan,nan,nan,2.944e+05
249,0.6537,45.9176,8.2104,nan,nan,nan,nan,2.947e+05
250,0.6581,46.4248,8.5044,4.1074,333.63,0.8434,0.6122,2.951e+05
251,0.7993,48.6357,8.4567,nan,nan,nan,nan,2.873e+05
252,0.6210,49.3024,7.0769,nan,nan,nan,nan,2.877e+05
253,0.6183,48.9422,7.7099,nan,nan,nan,nan,2.880e+05
254,0.6198,48.4758,9.2036,nan,nan,nan,nan,2.883e+05
255,0.6060,48.2238,9.6793,nan,nan,nan,nan,2.887e+05
256,0.6239,48.7348,10.4721,nan,nan,nan,nan,2.891e+05
257,0.6464,49.3364,10.4650,nan,nan,nan,nan,2.894e+05
258,0.6543,49.8881,11.1604,nan,nan,nan,nan,2.897e+05
259,0.6593,50.3732,10.8245,nan,nan,nan,nan,2.901e+05
260,0.6700,50.8536,10.9457,nan,nan,nan,nan,2.904e+05
261,0.7206,51.3890,10.7419,nan,nan,nan,nan,2.907e+05
262,0.7968,51.9963,9.9274,nan,nan,nan,nan,2.911e+05
263,0.7590,52.5070,8.2124,nan,nan,nan,nan,2.914e+05
