iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
134,-0.3172,-5.0102,0.1072,nan,nan,nan,nan,2.488e+05
135,-0.2954,-4.9029,0.1039,nan,nan,nan,nan,2.493e+05
136,-0.2783,-4.7708,0.1075,nan,nan,nan,nan,2.499e+05
137,-0.2591,-4.6403,0.1043,nan,nan,nan,nan,2.505e+05
138,-0.2405,-4.5323,0.1139,nan,nan,nan,nan,2.511e+05
139,-0.2263,-4.4402,0.1090,nan,nan,nan,nan,2.516e+05
140,-0.2117,-4.3436,0.0998,nan,nan,nan,nan,2.522e+05
141,-0.1942,-4.2606,0.1131,nan,nan,nan,nan,2.527e+05
142,-0.1780,-4.1652,0.1071,nan,nan,nan,nan,2.533e+05
143,-0.1688,-4.0309,0.1074,nan,nan,nan,nan,2.539e+05
144,-0.1548,-3.9414,0.0984,nan,nan,nan,nan,2.544e+05
145,-0.1396,-3.8449,0.1006,nan,nan,nan,nan,2.550e+05
146,-0.1283,-3.7707,0.1097,nan,nan,nan,nan,2.555e+05
147,-0.1123,-3.6644,0.1058,nan,nan,nan,nan,2.561e+05
148,-0.1017,-3.5841,0.1040,nan,nan,nan,nan,2.566e+05
149,-0.0861,-3.5123,0.1036,nan,nan,nan,nan,2.572e+05
150,-0.0771,-3.4305,0.1210,0.0968,17.04,1.0000,0.2840,2.577e+05
151,-0.0528,-3.1611,0.0999,nan,nan,nan,nan,2.497e+05
152,-0.0807,-3.2227,0.1189,nan,nan,nan,nan,2.503e+05
153,-0.0554,-3.2154,0.0986,nan,nan,nan,nan,2.509e+05
154,-0.0225,-3.0676,0.1106,nan,nan,nan,nan,2.515e+05
155,-0.0079,-2.9523,0.1126,nan,nan,nan,nan,2.520e+05
156,-0.0093,-2.8377,0.0936,nan,nan,nan,nan,2.526e+05
157,-0.0116,-2.7860,0.1030,nan,nan,nan,nan,2.531e+05
158,-0.0030,-2.7405,0.0943,nan,nan,nan,nan,2.536e+05
159,0.0204,-2.6354,0.1041,nan,nan,nan,nan,2.542e+05
160,0.0360,-2.4999,0.0966,nan,nan,nan,nan,2.547e+05
161,0.0352,-2.4324,0.0973,nan,nan,nan,nan,2.552e+05
162,0.0404,-2.3562,0.0918,nan,nan,nan,nan,2.558e+05
163,0.0523,-2.2963,0.0996,nan,nan,nan,nan,2.563e+05
164,0.0660,-2.1934,0.0992,nan,nan,nan,nan,2.568e+05
165,0.0698,-2.1779,0.0974,nan,nan,nan,nan,2.573e+05
166,0.0730,-2.1368,0.0929,nan,nan,nan,nan,2.579e+05
167,0.0880,-2.0505,0.1026,nan,nan,nan,nan,2.584e+05
168,0.0955,-1.9974,0.1045,nan,nan,nan,nan,2.589e+05
169,0.0983,-1.9363,0.0942,nan,nan,nan,nan,2.594e+05
170,0.1103,-1.8693,0.1080,nan,nan,nan,nan,2.599e+05
171,0.1187,-1.7898,0.1135,nan,nan,nan,nan,2.604e+05
172,0.1207,-1.7268,0.0988,nan,nan,nan,nan,2.609e+05
173,0.1295,-1.6667,0.1182,nan,nan,nan,nan,2.614e+05
174,0.1393,-1.5845,0.1345,nan,nan,nan,nan,2.619e+05
175,0.1405,-1.5501,0.1461,0.1073,19.35,1.0000,0.2773,2.623e+05
176,0.0970,-1.5951,0.1253,nan,nan,nan,nan,2.559e+05
177,0.2233,-1.5119,0.1990,nan,nan,nan,nan,2.564e+05
178,0.1276,-1.2258,0.2319,nan,nan,nan,nan,2.569e+05
179,0.1768,-1.4257,0.3291,nan,nan,nan,nan,2.574e+05
180,0.1749,-1.0201,0.4211,nan,nan,nan,nan,2.579e+05
181,0.1796,-1.0713,0.5836,nan,nan,nan,nan,2.584e+05
182,0.1899,-0.5937,0.9180,nan,nan,nan,nan,2.588e+05
183,0.2012,-0.3186,1.1728,nan,nan,nan,nan,2.593e+05
184,0.2100,0.3468,1.7020,nan,nan,nan,nan,2.597e+05
185,0.2291,0.6940,1.7828,nan,nan,nan,nan,2.602e+05
186,0.2470,1.1156,1.8298,nan,nan,nan,nan,2.606e+05
187,0.2634,1.5094,1.8468,nan,nan,nan,nan,2.610e+05
188,0.2744,1.9281,1.8814,nan,nan,nan,nan,2.614e+05
189,0.2914,2.3636,1.8942,nan,nan,nan,nan,2.618e+05
190,0.3071,2.9906,1.9776,nan,nan,nan,nan,2.622e+05
191,0.3252,3.7676,2.0628,nan,nan,nan,nan,2.626e+05
192,0.3442,4.2874,2.0935,nan,nan,nan,nan,2.630e+05
193,0.3576,4.9826,2.1960,nan,nan,nan,nan,2.634e+05
194,0.3735,5.1987,2.1118,nan,nan,nan,nan,2.637e+05
195,0.3898,5.8198,2.0404,nan,nan,nan,nan,2.641e+05
196,0.4048,6.1443,1.8453,nan,nan,nan,nan,2.644e+05
197,0.4191,6.6500,1.7614,nan,nan,nan,nan,2.648e+05
198,0.4351,7.0954,1.7282,nan,nan,nan,nan,2.651e+05
199,0.4494,7.4085,1.5462,nan,nan,nan,nan,2.654e+05
200,0.4583,7.6545,1.5572,0.6110,50.81,1.0000,0.6015,2.657e+05
201,0.4265,9.8165,1.5541,nan,nan,nan,nan,2.580e+05
202,0.4870,6.1776,1.1408,nan,nan,nan,nan,2.584e+05
203,0.5279,10.1743,1.6239,nan,nan,nan,nan,2.587e+05
204,0.4275,8.4733,1.4066,nan,nan,nan,nan,2.590e+05
205,0.5376,8.4251,1.3518,nan,nan,nan,nan,2.594e+05
206,0.4883,10.5426,1.5845,nan,nan,nan,nan,2.597e+05
207,0.5036,8.7926,1.3217,nan,nan,nan,nan,2.600e+05
208,0.5417,10.4469,1.4692,nan,nan,nan,nan,2.603e+05
209,0.5059,10.4189,1.3267,nan,nan,nan,nan,2.606e+05
210,0.5615,10.6426,1.3229,nan,nan,nan,nan,2.610e+05
211,0.5387,11.5878,1.3317,nan,nan,nan,nan,2.613e+05
212,0.5597,10.9513,1.1862,nan,nan,nan,nan,2.616e+05
213,0.5649,12.3400,1.3008,nan,nan,nan,nan,2.619e+05
214,0.5670,12.0572,1.2266,nan,nan,nan,nan,2.623e+05
215,0.5854,12.8417,1.3251,nan,nan,nan,nan,2.626e+05
216,0.5746,12.9050,1.2431,nan,nan,nan,nan,2.629e+05
217,0.6000,13.6355,1.2551,nan,nan,nan,nan,2.633e+05
218,0.5930,14.0215,1.3030,nan,nan,nan,nan,2.636e+05
219,0.6124,14.5199,1.3779,nan,nan,nan,nan,2.640e+05
220,0.6065,14.9307,1.4747,nan,nan,nan,nan,2.643e+05
221,0.6137,15.5210,1.5176,nan,nan,nan,nan,2.646e+05
222,0.6116,15.8067,1.6553,nan,nan,nan,nan,2.650e+05
223,0.6111,16.4153,1.9537,nan,nan,nan,nan,2.653e+05
224,0.6181,16.8511,1.9505,nan,nan,nan,nan,2.657e+05
225,0.6199,17.7193,2.2129,0.9596,78.92,1.0000,0.6081,2.660e+05
226,0.7454,26.2373,2.4464,nan,nan,nan,nan,2.597e+05
227,0.6860,12.8090,1.8294,nan,nan,nan,nan,2.600e+05
228,0.5607,24.9337,3.6302,nan,nan,nan,nan,2.604e+05
229,0.6897,20.3818,4.5273,nan,nan,nan,nan,2.607e+05
230,0.5845,20.7178,4.1574,nan,nan,nan,nan,2.611e+05
231,0.6211,24.7043,5.5260,nan,nan,nan,nan,2.614e+05
232,0.6334,22.9965,6.0903,nan,nan,nan,nan,2.618e+05
233,0.6052,24.0186,6.3686,nan,nan,nan,nan,2.621e+05
234,0.6160,25.3764,6.9978,nan,nan,nan,nan,2.624e+05
235,0.6201,25.5340,7.3540,nan,nan,nan,nan,2.628e+05
236,0.6115,26.2130,7.7924,nan,nan,nan,nan,2.631e+05
237,0.6124,26.8546,8.0439,nan,nan,nan,nan,2.634e+05
238,0.6148,27.1405,8.3644,nan,nan,nan,nan,2.637e+05
239,0.6138,27.6687,8.3960,nan,nan,nan,nan,2.640e+05
240,0.6127,28.7402,8.4766,nan,nan,nan,nan,2.644e+05
241,0.6197,30.2659,8.8207,nan,nan,nan,nan,2.647e+05
242,0.6290,30.6327,9.5380,nan,nan,nan,nan,2.650e+05
243,0.6287,31.4023,9.7609,nan,nan,nan,nan,2.653e+05
244,0.6303,31.9969,10.1444,nan,nan,nan,nan,2.656e+05
245,0.6366,32.8437,10.3310,nan,nan,nan,nan,2.660e+05
246,0.6407,33.3399,11.0210,nan,nan,nan,nan,2.663e+05
247,0.6350,33.8706,10.7774,nan,nan,nan,nan,2.666e+05
248,0.6374,34.9067,10.9524,nan,nan,nan,nan,2.669e+05
249,0.6404,35.5976,11.4880,nan,nan,nan,nan,2.672e+05
250,0.6407,36.3771,11.7214,1.9361,150.35,0.9991,0.6446,2.675e+05
251,0.7603,31.6233,13.6061,nan,nan,nan,nan,2.617e+05
252,0.6149,33.8676,10.3516,nan,nan,nan,nan,2.620e+05
253,0.6308,39.6256,10.5561,nan,nan,nan,nan,2.623e+05
254,0.6633,40.2197,12.2339,nan,nan,nan,nan,2.626e+05
255,0.6693,39.9679,14.3809,nan,nan,nan,nan,2.629e+05
256,0.6577,40.5948,14.0714,nan,nan,nan,nan,2.633e+05
257,0.6584,41.6404,14.7546,nan,nan,nan,nan,2.636e+05
